# list of object assets to load in this scene
[MAP]
Game_Maps\World_1.txt
[ASSETS]
Text_Files\Mario.txt
Text_Files\Grass, Help And Gate Keeper.txt
Text_Files\Entrance.txt
Text_Files\Hud.txt
Text_Files\Card.txt
[OBJECTS]
100	35	50

#Kiểu Entrance(120) -> x, y, type, scene, bl_l, bl_t, bl_r, bl_b 
#START
120	35	50	0	0	1	1	0	1

#BLOCK	Between Start & 1
130	68	50	0	0	1	1

#1
120	66	18	1	1	1	1	0	0

#BLOCK	Between 1 & 2
130	100	18	0	1	0	1

#2
120	128	18	2	1	0	1	0	0

#BLOCK	Between 2 & Bích
130	130	50	1	0	0	0

#3
120	160	18	3	1	0	1	0	1

#BLOCK	Between 3 & Mushroom House
130	195	18	0	1	1	0

#Mushroom House
130	193	50	0	0	1	1

#4
120	160	50	4	1	0	1	0	1

#5
120	65	144	5	1	1	0	0	1

#BLOCK	Between 5 & 6
130	100	146	0	1	0	1

#6
120	128	144	6	1	0	0	1	1

#BLOCK	Between 6 & Bridge
130	130	112	0	1	0	0

#BLOCK	Between Bridge & Castle
130	165	112	0	1	0	1

#Castle
130	190	112	0	1	1	1

#Mushroom House Opposite Bridge
130	95	112	1	1	0	1

#BÍCH
120	128	80	7	1	0	0	1	1

#GOLD BLOCK
130	70	65	1	1	1	0

#GOLD FORT
130	95	78	0	1	0	1

#BLOCK	Between Bích & Gold Fort
130	70	83	1	0	0	0

#BLOCK	Between GOLD LOCK & 5
130	70	113	1	0	1	0

#GRASS
110	15	20	0
110	30	20	0
110	45	20	0
110	15	35	0
110	30	35	0
110	45	35	0

110	15	65	0
110	30	65	0
110	45	65	0
110	15	80	0
110	30	80	0
110	45	80	0
110	15	95	0

110	85	30	0
110	100	30	0
110	115	30	0
110	85	45	0
110	100	45	0
110	115	45	0
110	85	60	0
110	100	60	0
110	115	60	0

110	100	95	0
110	115	95	0
110	130	95	0

110	145	35	0
110	160	35	0
110	175	35	0

110	145	65	0
110	160	65	0
110	175	65	0

110	195	65	0
110	210	65	0
110	225	65	0

110	145	80	0
110	160	80	0

110	210	50	0
110	225	50	0
110	210	35	0
110	225	35	0
110	210	20	0
110	225	20	0

110	225	80	0
110	225	95	0
110	225	110	0
110	225	125	0
110	225	140	0

#HELP
110	205	95	1

#GATE KEEPER
140	165	112
