# id	left	top	right	bottom	texture_id
[SPRITES]
########### BIG ############
#IDLE R & L
11121	1028	92	1043	119	0
11111	0	92	15	119	0

#WALKING RIGHT
11222	1009	92	1024	119	0
11223	990	92	1007	119	0

#WALKING LEFT
11212	19	92	34	119	0
11213	36	92	53	119	0

#RUNNING RIGHT
11321	934	92	953	119	0
11322	908	92	927	119	0
11323	882	92	901	119	0

#RUNNING LEFT
11311	90	92	109	119	0
11312	116	92	135	119	0
11313	142	92	161	119	0

#JUMP WALK RIGHT & LEFT
11427	954	92	971	119	0
11423	72	92	89	119	0

#JUMP_AT_MAX_SPEED RIGHT & LEFT
11451	856	92	875	119	0
11441	169	92	188	119	0

#SIT R & L
11521	375	247	390	266	70
11511	15	247	30	266	70

#SIT RIGHT & LEFT
#11521	974	92	989	119	0
#11511	54	92	69	119	0

#BRACE RIGHT & LEFT
11621	832	92	849	119	0
11611	194	92	211	119	0

#KICKING RIGHT & LEFT
11721	717	92	738	119	0
11711	305	92	326	119	0

#HOLD L & R
#11811	248	92	263	119	0
#11821	780	92	795	119	0
11811	581	202	606	229	80
11821	155	492	180	519	80

#WALK && HOLD L
#11921	761	92	777	119	0
#11922	742	92	759	119	0
11911	580	169	607	196	80
11912	542	129	569	156	80	

#WALK && HOLD R
#11911	266	92	282	119	0	
#11912	284	92	301	119	0
11921	154	459	181	486	80
11922	192	419	219	446	80


#DIE
13001	307	15	322	32	0

########### SMALL ###########
#IDLE RIGHT & LEFT
12121	1028	17	1041	32	0
12111	2	17	15	32	0

#WALK RIGHT & LEFT
12222	1009	15	1024	32	0
12212	19	15	34	32	0

#RUN RIGHT
12321	973	15	988	32	0
12322	955	15	970	32	0

#RUN LEFT
12311	55	15	70	32	0
12312	73	15	88	32	0

#BRACE RIGHT & LEFT
12521	920	15	933	32	0
12511	110	15	123	32	0

#KICK RIGHT & LEFT
12135	847	15	862	32	0
12125	181	15	196	32	0

#JUMP WALK RIGHT & LEFT
12417	991	15	1006	32	0
12413	37	15	52	32	0

#HOLD L & R
#12611	144	15	159	32	0
#12621	884	15	899	32	0
12611	50	78	74	95	80
12621	331	78	355	95	80

#HOLD WALK L & R
#12631	162	15	177	32	0
#12641	866	15	881	32	0
12631	9	78	36	95	80
12641	369	78	396	95	80

#JUMP AT MAX SPEED R & L
12451	937	15	952	32	0
12441	91	15	106	32	0

#EVOLVE R & L
12471	821	131	834	154	0
12461	209	131	222	154	0

########### RACOON ###########
#IDLE RIGHT & LEFT
14121	1022	349	1043	378	0
14111	0	349	21	378	0

#WALKING RIGHT
14222	994	349	1017	378	0
14223	967	349	990	378	0

#WALKING LEFT
14212	26	349	49	378	0
14213	53	349	76	378	0

#RUNNING RIGHT
14321	836	349	861	378	0
14322	810	349	835	378	0
14323	784	349	809	378	0

#RUNNING LEFT
14311	182	349	207	378	0
14312	208	349	233	378	0
14313	234	349	259	378	0

#JUMP WALK RIGHT & LEFT
14417	915	349	938	378	0
14413	105	349	128	378	0

#JUMP MAX SPEED R & L
14451	758	350	783	377	0
14441	260	350	285	377	0

#SIT RIGHT & LEFT
14621	942	359	965	378	0
14611	78	359	101	378	0

#BRACE RIGHT & LEFT
14521	688	347	705	378	0
14511	338	347	355	378	0

#KICKING RIGHT & LEFT
14721	940	383	963	412	0
14711	80	383	103	412	0

#ATTACKING RIGHT
14821	645	349	668	378	0
14822	670	349	687	378	0
14823	375	349	398	378	0
14824	400	349	417	378	0
14825	645	349	668	378	0

#ATTACKING LEFT
14811	375	349	398	378	0
14812	356	349	373	378	0
14813	645	349	668	378	0
14814	400	349	417	378	0
14815	375	349	398	378	0

#FALLING RIGHT & LEFT
14921	889	349	912	378	0
14911	131	349	154	378	0

#HOLD R & L
14941	1022	383	1043	412	0
14931	0	383	21	412	0

#HOLD WALK R
14961	994	383	1017	412	0
14962	967	383	990	412	0

#HOLD WALK L
14951	26	383	49	412	0
14952	53	383	76	412	0

#LANDING RIGHT còn phần này
15121	864	350	887	377	0
15122	967	350	990	376	0
15123	889	350	913	376	0

########### ANI_BIG ###########
#ani_id	sprite1_id	time1	sprite2_id	time2
[ANIMATIONS]
#IDLE RIGHT & LEFT
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT
500	11121	115	11222	115	11223	115
501	11111	115	11212	115	11213	115

#RUNNING RIGHT & LEFT
600	11121	50	11222	50	11223	50
601	11111	50	11212	50	11213	50

#JUMP WALK RIGHT & LEFT
700	11427	100
701	11423	100

#JUMP RUN RIGHT & LEFT
800	11427	100
801	11423	100

#SIT RIGHT & LEFT
900	11521	100
901	11511	100

#KICK RIGHT & LEFT
1011	11721	400
1010	11711	400

#BRACE RIGHT & LEFT
1000	11611	100
1001	11621	100

#DIE
999	13001	100

#RUNNING_MAX_SPEED_RIGHT & LEFT
1031	11321	100	11322	100	11323	100
1030	11311	100	11312	100	11313	100

#JUMP MAX SPEED L & R
1051	11451	100
1050	11441	100

#HOLD L & R
1020	11811	100
1021	11821	100

#HOLD WALK L & R
1040	11811	100	11911	100	11912	100
1041	11821	100	11921	100	11922	100

#HOLD JUMP L & R
1060	11912	100
1061	11922	100
	
########### ANI_SMALL ###########
#IDLE RIGHT & LEFT
1100	12121	100
1101	12111	100

#WALK RIGHT & LEFT
1200	12121	90	12222	90
1201	12111	90	12212	90

#RUN RIGHT & LEFT
1300	12121	50	12222	50
1301	12111	50	12212	50

#BRACE LEFT & RIGHT
1401	12521	100
1400	12511	100

#JUMP WALK RIGHT & LEFT
1500	12417	100
1501	12413	100

#KICK LEFT & RIGHT
1410	12125	100
1411	12135	100

#RUNNING_MAX_SPEED_RIGHT & LEFT
1750	12321	100	12322	100
1751	12311	100	12312	100

#JUMP_MAX_SPEED R & L
1761	12451	100
1760	12441	100

#EVOLVE R & L
1771	12471	50	12121	50	12471	50	12121	50	12471	50	12121	50	12471	50	11121	50	12471	50	11121	50
1770	12461	50	12111	50	12461	50	12111	50	12461	50	12111	50	12461	50	11111	50	12461	50	11111	50

#HOLD L & R
1775	12611	100
1776	12621	100

#HOLD WALK L & R
1780	12611	100	12631	100
1781	12621	100	12641	100

#HOLD JUMP L & R
1785	12631	100
1786	12641	100

########### ANI_RACOON ###########
#IDLE RIGHT & LEFT
1801	14121	100
1800	14111	100

#WALKING RIGHT & LEFT
1901	14121	100	14222	100	14223	100
1900	14111	100	14212	100	14213	100

#RUNNING RIGHT & LEFT
2001	14121	50	14222	50	14223	50
2000	14111	50	14212	50	14213	50

#JUMP WALK RIGHT & LEFT
2101	14417	100
2100	14413	100

#SIT RIGHT & LEFT
2500	14621	100
2501	14611	100

#KICK RIGHT & LEFT
2600	14721	100
2601	14711	100

#BRACE RIGHT & LEFT
2401	14521	100
2400	14511	100

#ATTACK RIGHT & LEFT
2700	14821	70	14822	70	14823	70	14824	70	14825	70
2701	14811	70	14812	70	14813	70	14814	70	14815	70

#FALLING RIGHT & LEFT
2800	14921	100
2801	14911	100

#RUNNING_MAX_SPEED_RIGHT & LEFT
2811	14321	100	14322	100	14323	100
2810	14311	100	14312	100	14313	100

#JUMPING MAX SPEED R & L
2821	14451	100
2820	14441	100

#LANDING R & L
2831	15121	100	15122	100	15123	100

#HOLD L & R
2835	14931	100
2836	14941	100

#HOLD WALK L & R
2840	14931	100	14951	100	14952	100
2841	14941	100	14961	100	14962	100

#HOLD JUMP L & R
2845	14952	100
2846	14962	100
