# list of object assets to load in this scene
[ASSETS]
Text_Files\Mario.txt
Text_Files\Coin.txt
Text_Files\Brick.txt
Text_Files\ColorPlatform.txt
Text_Files\Platform.txt

[OBJECTS]
#0	140	20

#Coin
4	208	42
4	224	26
4	240	26
4	256	42
4	256	58
4	224	74
4	240	74
4	256	90
4	256	106
4	208	106
4	224	122
4	240	122

#Cột trái
1	112	145	3	0
1	112	130	3	0
1	112	115	3	0
1	112	100	3	0
1	112	85	3	0
1	112	70	3	0
1	112	55	3	0
1	112	40	3	0
1	112	25	3	0
1	112	10	3	0

#Nền dưới
5	0	160	16	15	16	0	0	0

#Bậc thang
1	256	145	3	0
1	272	129	3	0
1	288	113	3	0
1	304	97	3	0
1	320	81	3	0
1	336	65	3	0
1	352	65	3	0
1	368	65	3	0
1	384	50	3	0
1	384	33	3	0
1	384	18	3	0

#Nền trên
5	165	1	16	15	12	0	0	0
